,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-31,173.47999572753906,173.97999572753906,170.1699981689453,172.4600067138672,155.5730438232422,2896900
1,2019-08-01,171.88999938964844,173.80999755859375,169.25,169.5500030517578,152.9479522705078,2751600
2,2019-08-02,168.88999938964844,169.0500030517578,166.63999938964844,168.00999450683594,151.55880737304688,2154700
3,2019-08-05,165.17999267578125,165.99000549316406,160.88999938964844,162.00999450683594,146.14627075195312,3295400
4,2019-08-06,163.3699951171875,165.52999877929688,163.22000122070312,164.52000427246094,148.4104766845703,3604800
5,2019-08-07,162.9600067138672,163.83999633789062,161.07000732421875,163.38999938964844,147.39114379882812,3079200
6,2019-08-08,164.58999633789062,167.44000244140625,164.1999969482422,167.00999450683594,150.65670776367188,2428800
7,2019-08-09,166.88999938964844,167.6699981689453,165.25,166.6699981689453,150.34996032714844,1802100
8,2019-08-12,165.4199981689453,166.8699951171875,164.4199981689453,164.69000244140625,148.56385803222656,1490200
9,2019-08-13,164.91000366210938,170.02999877929688,164.5,167.97999572753906,151.53173828125,3221800
10,2019-08-14,166.02999877929688,166.7899932861328,163.97999572753906,164.0399932861328,147.97750854492188,2457300
11,2019-08-15,163.32000732421875,163.88999938964844,161.10000610351562,162.27000427246094,147.1162109375,2220400
12,2019-08-16,163.80999755859375,165.55999755859375,163.22000122070312,165.02999877929688,149.6185302734375,1748200
13,2019-08-19,167.2100067138672,167.3300018310547,165.5,165.86000061035156,150.37095642089844,1647200
14,2019-08-20,165.61000061035156,165.85000610351562,163.38999938964844,163.47000122070312,148.2041473388672,1726200
15,2019-08-21,165.0,165.0,162.77999877929688,163.7899932861328,148.49424743652344,1732200
16,2019-08-22,164.67999267578125,164.89999389648438,161.5800018310547,162.89999389648438,147.68740844726562,1940000
17,2019-08-23,161.47999572753906,162.27999877929688,155.49000549316406,156.49000549316406,141.87600708007812,4342900
18,2019-08-26,157.8699951171875,158.02999877929688,154.91000366210938,156.91000366210938,142.2567596435547,3094000
19,2019-08-27,158.11000061035156,158.1999969482422,156.24000549316406,157.47999572753906,142.77352905273438,2530200
20,2019-08-28,157.1699981689453,160.0,156.4600067138672,159.5500030517578,144.6502685546875,2363400
21,2019-08-29,161.47999572753906,164.0,160.94000244140625,163.60000610351562,148.32200622558594,3919300
22,2019-08-30,165.0,165.63999938964844,164.10000610351562,164.6199951171875,149.24676513671875,3156600
23,2019-09-03,163.50999450683594,164.4600067138672,162.64999389648438,163.52999877929688,148.2585906982422,2799500
24,2019-09-04,165.17999267578125,167.72999572753906,165.17999267578125,167.13999938964844,151.5314483642578,3974700
25,2019-09-05,168.61000061035156,170.9600067138672,168.50999450683594,170.3699951171875,154.45980834960938,4511600
26,2019-09-06,170.9499969482422,171.7899932861328,170.52000427246094,171.16000366210938,155.17604064941406,3327800
27,2019-09-09,171.88999938964844,172.72999572753906,169.05999755859375,169.66000366210938,153.8161163330078,4991800
28,2019-09-10,168.6300048828125,169.63999938964844,166.89999389648438,169.61000061035156,153.7707977294922,4221600
29,2019-09-11,169.7899932861328,171.36000061035156,169.1999969482422,171.27999877929688,155.28480529785156,4047500
30,2019-09-12,171.52999877929688,172.0,168.39999389648438,168.6300048828125,152.8822784423828,2777500
31,2019-09-13,168.92999267578125,169.17999267578125,167.47999572753906,167.7100067138672,152.0482177734375,2739600
32,2019-09-16,167.0399932861328,167.41000366210938,165.75999450683594,166.2100067138672,150.6883087158203,2427700
33,2019-09-17,166.49000549316406,166.7899932861328,165.25999450683594,166.4600067138672,150.91494750976562,2287200
34,2019-09-18,165.88999938964844,167.99000549316406,165.50999450683594,167.97000122070312,152.28395080566406,1831700
35,2019-09-19,168.0800018310547,168.75999450683594,166.52999877929688,166.77000427246094,151.19601440429688,1950200
36,2019-09-20,167.60000610351562,168.7100067138672,166.69000244140625,168.30999755859375,152.59219360351562,5050400
37,2019-09-23,166.74000549316406,167.80999755859375,166.2100067138672,167.13999938964844,151.5314483642578,2325500
38,2019-09-24,167.7899932861328,168.4499969482422,164.92999267578125,165.75999450683594,150.28030395507812,2638200
39,2019-09-25,165.92999267578125,167.27999877929688,165.25999450683594,166.92999267578125,151.34103393554688,1645000
40,2019-09-26,166.8699951171875,168.0,166.47000122070312,167.02999877929688,151.43173217773438,1983000
41,2019-09-27,167.86000061035156,168.47999572753906,166.30999755859375,168.0399932861328,152.3473663330078,2514800
42,2019-09-30,168.8300018310547,169.5399932861328,168.05999755859375,169.1999969482422,153.39906311035156,2079500
43,2019-10-01,169.5500030517578,170.16000366210938,164.02000427246094,164.19000244140625,148.85691833496094,2793200
44,2019-10-02,162.13999938964844,162.8300018310547,159.44000244140625,161.0800018310547,146.037353515625,4520100
